
2025/02/17 (09:47:26) | ===> btop++ v.1.4.0
2025/02/17 (09:47:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/17 (12:54:15) | ===> btop++ v.1.4.0
2025/02/17 (12:54:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/17 (15:04:33) | ===> btop++ v.1.4.0
2025/02/17 (15:04:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/18 (15:38:33) | ===> btop++ v.1.4.0
2025/02/18 (15:38:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/19 (20:03:25) | ===> btop++ v.1.4.0
2025/02/19 (20:03:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (10:53:52) | ===> btop++ v.1.4.0
2025/02/21 (10:53:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (10:57:52) | ===> btop++ v.1.4.0
2025/02/21 (10:57:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (11:03:56) | ===> btop++ v.1.4.0
2025/02/21 (11:03:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (11:06:37) | ===> btop++ v.1.4.0
2025/02/21 (11:06:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (11:10:14) | ===> btop++ v.1.4.0
2025/02/21 (11:10:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (13:18:22) | ===> btop++ v.1.4.0
2025/02/21 (13:18:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (15:43:02) | ===> btop++ v.1.4.0
2025/02/21 (15:43:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (12:25:26) | ===> btop++ v.1.4.0
2025/02/25 (12:25:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (13:23:28) | ===> btop++ v.1.4.0
2025/02/25 (13:23:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (13:25:42) | ===> btop++ v.1.4.0
2025/02/25 (13:25:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (14:07:02) | ===> btop++ v.1.4.0
2025/02/25 (14:07:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (14:14:32) | ===> btop++ v.1.4.0
2025/02/25 (14:14:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (15:24:08) | ===> btop++ v.1.4.0
2025/02/25 (15:24:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (16:03:47) | ===> btop++ v.1.4.0
2025/02/25 (16:03:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (17:46:57) | ===> btop++ v.1.4.0
2025/02/25 (17:46:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (17:47:30) | ===> btop++ v.1.4.0
2025/02/25 (17:47:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (19:01:52) | ===> btop++ v.1.4.0
2025/02/25 (19:01:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (19:19:52) | ===> btop++ v.1.4.0
2025/02/25 (19:19:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (19:20:07) | ===> btop++ v.1.4.0
2025/02/25 (19:20:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (19:38:34) | ===> btop++ v.1.4.0
2025/02/25 (19:38:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (19:45:08) | ===> btop++ v.1.4.0
2025/02/25 (19:45:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (20:08:16) | ===> btop++ v.1.4.0
2025/02/25 (20:08:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (20:31:12) | ===> btop++ v.1.4.0
2025/02/25 (20:31:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (20:31:41) | ===> btop++ v.1.4.0
2025/02/25 (20:31:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (21:06:17) | ===> btop++ v.1.4.0
2025/02/25 (21:06:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (21:08:33) | ===> btop++ v.1.4.0
2025/02/25 (21:08:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (21:15:50) | ===> btop++ v.1.4.0
2025/02/25 (21:15:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (21:16:05) | ===> btop++ v.1.4.0
2025/02/25 (21:16:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (21:19:08) | ===> btop++ v.1.4.0
2025/02/25 (21:19:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (21:24:40) | ===> btop++ v.1.4.0
2025/02/25 (21:24:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

