1742469593.530640 server started (20238): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1742469593.530664 on Linux 6.12.16-gentoo-dist #1 SMP PREEMPT_DYNAMIC Fri Feb 21 16:00:51 -00 2025
1742469593.530680 using libevent 2.1.12-stable poll
1742469593.530687 using ncurses 6.4 20240414
1742469593.530756 input_key_build: 0x10e003 (PasteStart) is \033[200~
1742469593.530764 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1742469593.530771 input_key_build: 0x10e195 (F1) is \033OP
1742469593.530778 input_key_build: 0x10e196 (F2) is \033OQ
1742469593.530785 input_key_build: 0x10e197 (F3) is \033OR
1742469593.530791 input_key_build: 0x10e198 (F4) is \033OS
1742469593.530798 input_key_build: 0x10e199 (F5) is \033[15~
1742469593.530805 input_key_build: 0x10e19a (F6) is \033[17~
1742469593.530812 input_key_build: 0x10e19b (F7) is \033[18~
1742469593.530819 input_key_build: 0x10e19c (F8) is \033[19~
1742469593.530826 input_key_build: 0x10e19d (F9) is \033[20~
1742469593.530833 input_key_build: 0x10e19e (F10) is \033[21~
1742469593.530842 input_key_build: 0x10e19f (F11) is \033[23~
1742469593.530849 input_key_build: 0x10e1a0 (F12) is \033[24~
1742469593.530856 input_key_build: 0x10e1a1 (IC) is \033[2~
1742469593.530863 input_key_build: 0x10e1a2 (DC) is \033[3~
1742469593.530870 input_key_build: 0x10e1a3 (Home) is \033[1~
1742469593.530876 input_key_build: 0x10e1a4 (End) is \033[4~
1742469593.530883 input_key_build: 0x10e1a5 (NPage) is \033[6~
1742469593.530890 input_key_build: 0x10e1a6 (PPage) is \033[5~
1742469593.530897 input_key_build: 0x10e1a7 (BTab) is \033[Z
1742469593.530904 input_key_build: 0x10e1a8 (Up) is \033[A
1742469593.530910 input_key_build: 0x10e1a9 (Down) is \033[B
1742469593.530917 input_key_build: 0x10e1aa (Left) is \033[D
1742469593.530924 input_key_build: 0x10e1ab (Right) is \033[C
1742469593.530931 input_key_build: 0x10e1ac (KP/) is /
1742469593.530938 input_key_build: 0x10e1ad (KP*) is *
1742469593.530945 input_key_build: 0x10e1ae (KP-) is -
1742469593.530951 input_key_build: 0x10e1af (KP7) is 7
1742469593.530958 input_key_build: 0x10e1b0 (KP8) is 8
1742469593.530975 input_key_build: 0x10e1b1 (KP9) is 9
1742469593.530982 input_key_build: 0x10e1b2 (KP+) is +
1742469593.530989 input_key_build: 0x10e1b3 (KP4) is 4
1742469593.530996 input_key_build: 0x10e1b4 (KP5) is 5
1742469593.531003 input_key_build: 0x10e1b5 (KP6) is 6
1742469593.531009 input_key_build: 0x10e1b6 (KP1) is 1
1742469593.531020 input_key_build: 0x10e1b7 (KP2) is 2
1742469593.531027 input_key_build: 0x10e1b8 (KP3) is 3
1742469593.531034 input_key_build: 0x10e1b9 (KPEnter) is \n
1742469593.531041 input_key_build: 0x10e1ba (KP0) is 0
1742469593.531048 input_key_build: 0x10e1bb (KP.) is .
1742469593.531055 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1742469593.531062 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1742469593.531069 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1742469593.531076 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1742469593.531083 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1742469593.531090 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1742469593.531097 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1742469593.531104 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1742469593.531111 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1742469593.531118 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1742469593.531124 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1742469593.531131 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1742469593.531138 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1742469593.531145 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1742469593.531152 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1742469593.531159 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1742469593.531166 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1742469593.531173 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1742469593.531180 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1742469593.531187 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1742469593.531206 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1742469593.531213 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1742469593.531220 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1742469593.531227 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1742469593.531237 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1742469593.531245 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1742469593.531252 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1742469593.531259 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1742469593.531266 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1742469593.531272 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1742469593.531280 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1742469593.531287 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1742469593.531293 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1742469593.531301 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1742469593.531308 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1742469593.531315 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1742469593.531322 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1742469593.531328 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1742469593.531335 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1742469593.531342 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1742469593.531349 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1742469593.531356 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1742469593.531363 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1742469593.531370 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1742469593.531377 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1742469593.531384 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1742469593.531391 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1742469593.531398 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1742469593.531405 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1742469593.531412 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1742469593.531418 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1742469593.531425 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1742469593.531432 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1742469593.531439 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1742469593.531446 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1742469593.531453 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1742469593.531460 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1742469593.531467 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1742469593.531474 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1742469593.531481 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1742469593.531488 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1742469593.531495 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1742469593.531502 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1742469593.531509 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1742469593.531516 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1742469593.531523 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1742469593.531531 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1742469593.531538 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1742469593.531545 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1742469593.531552 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1742469593.531559 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1742469593.531566 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1742469593.531573 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1742469593.531580 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1742469593.531587 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1742469593.531594 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1742469593.531600 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1742469593.531616 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1742469593.531623 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1742469593.531630 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1742469593.531637 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1742469593.531644 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1742469593.531651 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1742469593.531658 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1742469593.531665 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1742469593.531672 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1742469593.531679 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1742469593.531689 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1742469593.531696 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1742469593.531703 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1742469593.531710 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1742469593.531717 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1742469593.531724 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1742469593.531731 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1742469593.531738 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1742469593.531745 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1742469593.531752 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1742469593.531759 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1742469593.531766 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1742469593.531773 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1742469593.531780 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1742469593.531787 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1742469593.531793 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1742469593.531799 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1742469593.531804 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1742469593.531810 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1742469593.531816 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1742469593.531821 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1742469593.531827 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1742469593.531833 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
